id,display_name,total,wins,losses,win_rate_percent,avg_duration,median_duration,short_rate_percent,long_rate_percent,anti_stall_rate_percent,status
starter_instrument,Starter Instrument,322,16,306,4.97,25.43,24.7,0,24.22,10.87,REVIEW
mental_controller,Mental Controller,416,196,220,47.12,25.91,23.95,0,20.91,7.93,REVIEW
elemental_mixer,Elemental Mixer,575,287,288,49.91,24.58,23.2,0,10.78,2.96,PASS
familiar_handler,Familiar Handler,418,217,201,51.91,24.62,23.2,0,17.46,6.46,REVIEW
summoner,Summoner,511,272,239,53.23,24.39,23.7,0,15.85,6.07,REVIEW
defensive_occultist,Defensive Occultist,480,129,351,26.88,30.74,32.7,0,55.21,25.83,REVIEW
dot_pressure,DoT Pressure,511,315,196,61.64,22.24,20.2,0,11.55,3.52,PASS
funeral_burst,Funeral Burst,1667,959,708,57.53,23.29,23.2,0,5.22,1.44,PASS
