id,seed,level,player_build_id,opponent_build_id,player_archetype_id,opponent_archetype_id,player_power,opponent_power,duration,winner,reason,event_count,anti_stall,barrier_absorbed,healing,summons_created,player_final_hp_percent,opponent_final_hp_percent,alerts,damage_by_source,damage_by_type,player_damage_by_source,opponent_damage_by_source,player_damage_by_type,opponent_damage_by_type,spell_casts
L16_M0040,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0040:battle_lab_character_rework_20260525:progression_bot:bot_spender_light_15h_p0:battle_lab_character_rework_20260525:progression_save:freemium_basic_15h,16,PLBOT_bot_spender_light_15h_p0,PL_freemium_basic_15h,familiar_handler,familiar_handler,2534,2382,21.7,familiar_handler,combatant_defeated,169,false,0,0,0,6.73,0,,weapon:1770|spell:180|dot:267|pet:121,arcano:1770|fogo:447|morte:121,weapon:911|spell:93|dot:143|pet:63,weapon:859|spell:87|dot:124|pet:58,arcano:911|fogo:236|morte:63,arcano:859|fogo:211|morte:58,sussurro_medo:9|marca_brasa:6
L16_M0041,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0041:battle_lab_character_rework_20260525:progression_save:freemium_basic_15h:battle_lab_character_rework_20260525:progression_bot:bot_spender_light_15h_p12,16,PL_freemium_basic_15h,PLBOT_bot_spender_light_15h_p12,familiar_handler,funeral_burst,2382,2149,20.2,familiar_handler,combatant_defeated,127,false,0,0,0,22.85,0,,weapon:1759|spell:180|dot:115|pet:122,arcano:1759|fogo:202|raio:93|morte:122,weapon:982|spell:87|dot:115|pet:58,weapon:777|spell:93|pet:64,arcano:982|fogo:202|morte:58,arcano:777|raio:93|morte:64,sussurro_medo:4|descarga_nervosa:3|marca_brasa:3
L16_M0042,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0042:battle_lab_character_rework_20260525:progression_bot:bot_spender_light_15h_p12:battle_lab_character_rework_20260525:progression_save:freemium_basic_15h,16,PLBOT_bot_spender_light_15h_p12,PL_freemium_basic_15h,funeral_burst,familiar_handler,2149,2382,20.2,familiar_handler,combatant_defeated,128,false,0,0,0,0,22.85,,weapon:1760|spell:180|dot:115|pet:122,arcano:1760|fogo:202|raio:93|morte:122,weapon:777|spell:93|pet:64,weapon:983|spell:87|dot:115|pet:58,arcano:777|raio:93|morte:64,arcano:983|fogo:202|morte:58,descarga_nervosa:3|sussurro_medo:4|marca_brasa:3
L16_M0043,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0043:battle_lab_character_rework_20260525:progression_save:spender_light_15h:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_15h_m12,16,PL_spender_light_15h,PLBOT_bot_free_100_rewards_15h_m12,familiar_handler,starter_instrument,2534,1032,15.7,familiar_handler,combatant_defeated,88,false,0,0,0,62.08,0,,weapon:1503|spell:92|dot:93|pet:50,arcano:1032|fogo:185|raio:471|morte:50,weapon:1032|spell:92|dot:93|pet:50,weapon:471,arcano:1032|fogo:185|morte:50,raio:471,sussurro_medo:4|marca_brasa:3
L16_M0044,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0044:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_15h_m12:battle_lab_character_rework_20260525:progression_save:spender_light_15h,16,PLBOT_bot_free_100_rewards_15h_m12,PL_spender_light_15h,starter_instrument,familiar_handler,1032,2534,15.7,familiar_handler,combatant_defeated,88,false,0,0,0,0,62.08,,weapon:1503|spell:92|dot:93|pet:50,arcano:1032|fogo:185|raio:471|morte:50,weapon:471,weapon:1032|spell:92|dot:93|pet:50,raio:471,arcano:1032|fogo:185|morte:50,sussurro_medo:4|marca_brasa:3
L16_M0045,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0045:battle_lab_character_rework_20260525:progression_save:spender_light_15h:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_15h_p0,16,PL_spender_light_15h,PLBOT_bot_free_100_rewards_15h_p0,familiar_handler,elemental_mixer,2534,2230,21.2,familiar_handler,combatant_defeated,168,false,0,0,0,14.04,0,,weapon:1599|spell:276|dot:248|pet:127,arcano:909|fogo:416|raio:862|morte:63,weapon:909|spell:93|dot:143|pet:63,weapon:690|spell:183|dot:105|pet:64,arcano:909|fogo:236|morte:63,fogo:180|raio:862,sussurro_medo:5|descarga_nervosa:4|marca_brasa:6
L16_M0046,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0046:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_15h_p0:battle_lab_character_rework_20260525:progression_save:spender_light_15h,16,PLBOT_bot_free_100_rewards_15h_p0,PL_spender_light_15h,elemental_mixer,familiar_handler,2230,2534,21.7,familiar_handler,combatant_defeated,172,false,0,0,0,0,11.47,,weapon:1767|spell:276|dot:248|pet:127,arcano:1045|fogo:416|raio:894|morte:63,weapon:722|spell:183|dot:105|pet:64,weapon:1045|spell:93|dot:143|pet:63,fogo:180|raio:894,arcano:1045|fogo:236|morte:63,descarga_nervosa:4|sussurro_medo:5|marca_brasa:6
L16_M0047,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0047:battle_lab_character_rework_20260525:progression_save:spender_light_15h:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_15h_p12,16,PL_spender_light_15h,PLBOT_bot_free_100_rewards_15h_p12,familiar_handler,funeral_burst,2534,1915,20.2,familiar_handler,combatant_defeated,128,false,0,0,0,40.59,0,,weapon:1623|spell:177|dot:133|pet:119,arcano:1036|fogo:226|raio:671|morte:119,weapon:1036|spell:93|dot:133|pet:63,weapon:587|spell:84|pet:56,arcano:1036|fogo:226|morte:63,raio:671|morte:56,sussurro_medo:4|descarga_nervosa:3|marca_brasa:3
L16_M0048,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0048:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_15h_p12:battle_lab_character_rework_20260525:progression_save:spender_light_15h,16,PLBOT_bot_free_100_rewards_15h_p12,PL_spender_light_15h,funeral_burst,familiar_handler,1915,2534,20.2,familiar_handler,combatant_defeated,130,false,0,0,0,0,34.99,,weapon:1691|spell:177|dot:133|pet:119,arcano:1037|fogo:226|raio:738|morte:119,weapon:654|spell:84|pet:56,weapon:1037|spell:93|dot:133|pet:63,raio:738|morte:56,arcano:1037|fogo:226|morte:63,descarga_nervosa:3|sussurro_medo:4|marca_brasa:3
L16_M0049,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0049:battle_lab_character_rework_20260525:progression_save:spender_light_15h:battle_lab_character_rework_20260525:progression_bot:bot_freemium_basic_15h_m12,16,PL_spender_light_15h,PLBOT_bot_freemium_basic_15h_m12,familiar_handler,starter_instrument,2534,1062,15.7,familiar_handler,combatant_defeated,87,false,0,0,0,55.12,0,,weapon:1585|spell:92|dot:93|pet:50,arcano:1585|fogo:185|morte:50,weapon:1032|spell:92|dot:93|pet:50,weapon:553,arcano:1032|fogo:185|morte:50,arcano:553,sussurro_medo:4|marca_brasa:3
