run_id,archived_at,base_sha,model_id,seed,hypothesis,overall_status,avg_duration,median_duration,short_rate_percent,long_rate_percent,anti_stall_rate_percent,raw_stress_dominance_max_percent,near_power_dominance_max_percent,critical_archetypes,compatibility_status,simulator_hash,content_hash,model_hash,files
2026-05-21_archetype_source_tuning_v02,2026-05-21T06:12:55.314Z,5a9f42b15312,draxos_mobile_battle_lab_v1,battle_lab_alpha_20260521,Ajuste por arquetipo/fonte: reduzir burst/pet e medir dominancia por poder proximo.,REVIEW,18.91,18.7,0,0,0.12,77.62,70.45,[],stale,unknown,unknown,unknown,"[""battle_lab_report.html"",""battle_lab_summary.json"",""battle_lab_matchups.csv"",""battle_lab_builds.csv"",""battle_lab_checks.csv"",""battle_lab_archetypes.csv"",""battle_lab_power_bands.csv"",""battle_lab_outliers.csv"",""battle_lab_source_by_archetype.csv"",""battle_lab_near_power_matrix.csv"",""battle_lab_history_index.csv"",""battle_lab_compare.csv""]"
2026-05-21_pacing_alpha_v01,2026-05-21T03:40:47.495Z,5a9f42b15312,draxos_mobile_battle_lab_v1,battle_lab_alpha_20260521,Baseline apos pacing alpha global de HP e antes do ajuste por fonte.,CRITICAL,18.19,17.7,2.38,0,0.12,88.1,79.37,"[""pet_handler"",""burst_caster""]",stale,unknown,unknown,unknown,"[""battle_lab_report.html"",""battle_lab_summary.json"",""battle_lab_matchups.csv"",""battle_lab_builds.csv"",""battle_lab_checks.csv"",""battle_lab_archetypes.csv"",""battle_lab_power_bands.csv"",""battle_lab_outliers.csv"",""battle_lab_source_by_archetype.csv"",""battle_lab_near_power_matrix.csv"",""battle_lab_history_index.csv"",""battle_lab_compare.csv""]"
