id,seed,level,player_build_id,opponent_build_id,player_archetype_id,opponent_archetype_id,player_power,opponent_power,duration,winner,reason,event_count,anti_stall,barrier_absorbed,healing,summons_created,player_final_hp_percent,opponent_final_hp_percent,alerts,damage_by_source,damage_by_type,player_damage_by_source,opponent_damage_by_source,player_damage_by_type,opponent_damage_by_type,spell_casts
L1_M0052,battle_lab:draxos_mobile_battle_lab_v1:L1_M0052:battle_lab_alpha_20260521:dot_pressure:L1:fixed:0:battle_lab_alpha_20260521:starter_wand:L1:random:1,1,L1_dot_pressure_fixed,L1_starter_wand_r1,dot_pressure,starter_wand,80,80,23.7,dot_pressure,combatant_defeated,50,false,0,0,0,2.47,0,,weapon:1035,magico:1035,weapon:540,weapon:495,magico:540,magico:495,
L1_M0053,battle_lab:draxos_mobile_battle_lab_v1:L1_M0053:battle_lab_alpha_20260521:starter_wand:L1:random:1:battle_lab_alpha_20260521:dot_pressure:L1:random:1,1,L1_starter_wand_r1,L1_dot_pressure_r1,starter_wand,dot_pressure,80,80,23.7,starter_wand,combatant_defeated,50,false,0,0,0,2.47,0,,weapon:1035,magico:1035,weapon:540,weapon:495,magico:540,magico:495,
L1_M0054,battle_lab:draxos_mobile_battle_lab_v1:L1_M0054:battle_lab_alpha_20260521:dot_pressure:L1:random:1:battle_lab_alpha_20260521:starter_wand:L1:random:1,1,L1_dot_pressure_r1,L1_starter_wand_r1,dot_pressure,starter_wand,80,80,23.7,dot_pressure,combatant_defeated,50,false,0,0,0,2.47,0,,weapon:1035,magico:1035,weapon:540,weapon:495,magico:540,magico:495,
L1_M0055,battle_lab:draxos_mobile_battle_lab_v1:L1_M0055:battle_lab_alpha_20260521:starter_wand:L1:random:1:battle_lab_alpha_20260521:burst_caster:L1:fixed:0,1,L1_starter_wand_r1,L1_burst_caster_fixed,starter_wand,burst_caster,80,105,20.7,burst_caster,combatant_defeated,45,false,0,0,0,0,8.25,,weapon:982,magico:982,weapon:465,weapon:517,magico:465,magico:517,
L1_M0056,battle_lab:draxos_mobile_battle_lab_v1:L1_M0056:battle_lab_alpha_20260521:burst_caster:L1:fixed:0:battle_lab_alpha_20260521:starter_wand:L1:random:1,1,L1_burst_caster_fixed,L1_starter_wand_r1,burst_caster,starter_wand,105,80,20.7,burst_caster,combatant_defeated,44,false,0,0,0,11.13,0,,weapon:967,magico:967,weapon:517,weapon:450,magico:517,magico:450,
L1_M0057,battle_lab:draxos_mobile_battle_lab_v1:L1_M0057:battle_lab_alpha_20260521:starter_wand:L1:random:1:battle_lab_alpha_20260521:burst_caster:L1:random:1,1,L1_starter_wand_r1,L1_burst_caster_r1,starter_wand,burst_caster,80,130,19.7,burst_caster,combatant_defeated,43,false,0,0,0,0,11.13,,weapon:990,magico:990,weapon:450,weapon:540,magico:450,magico:540,
L1_M0058,battle_lab:draxos_mobile_battle_lab_v1:L1_M0058:battle_lab_alpha_20260521:burst_caster:L1:random:1:battle_lab_alpha_20260521:starter_wand:L1:random:1,1,L1_burst_caster_r1,L1_starter_wand_r1,burst_caster,starter_wand,130,80,19.7,burst_caster,combatant_defeated,42,false,0,0,0,20.21,0,,weapon:945,magico:945,weapon:540,weapon:405,magico:540,magico:405,
L1_M0059,battle_lab:draxos_mobile_battle_lab_v1:L1_M0059:battle_lab_alpha_20260521:cosmic_apprentice:L1:fixed:0:battle_lab_alpha_20260521:cosmic_apprentice:L1:random:1,1,L1_cosmic_apprentice_fixed,L1_cosmic_apprentice_r1,cosmic_apprentice,cosmic_apprentice,80,80,23.7,cosmic_apprentice,combatant_defeated,50,false,0,0,0,2.47,0,,weapon:1035,magico:1035,weapon:540,weapon:495,magico:540,magico:495,
L1_M0060,battle_lab:draxos_mobile_battle_lab_v1:L1_M0060:battle_lab_alpha_20260521:cosmic_apprentice:L1:random:1:battle_lab_alpha_20260521:cosmic_apprentice:L1:fixed:0,1,L1_cosmic_apprentice_r1,L1_cosmic_apprentice_fixed,cosmic_apprentice,cosmic_apprentice,80,80,23.7,cosmic_apprentice,combatant_defeated,50,false,0,0,0,2.47,0,,weapon:1035,magico:1035,weapon:540,weapon:495,magico:540,magico:495,
L1_M0061,battle_lab:draxos_mobile_battle_lab_v1:L1_M0061:battle_lab_alpha_20260521:cosmic_apprentice:L1:fixed:0:battle_lab_alpha_20260521:elemental_mixer:L1:fixed:0,1,L1_cosmic_apprentice_fixed,L1_elemental_mixer_fixed,cosmic_apprentice,elemental_mixer,80,80,23.7,cosmic_apprentice,combatant_defeated,50,false,0,0,0,2.47,0,,weapon:1035,magico:1035,weapon:540,weapon:495,magico:540,magico:495,
