id,display_name,total,wins,losses,win_rate_percent,avg_duration,median_duration,short_rate_percent,long_rate_percent,anti_stall_rate_percent,status
starter_instrument,Starter Instrument,306,16,290,5.23,25.86,24.7,0,26.14,11.44,REVIEW
mental_controller,Mental Controller,383,171,212,44.65,25.99,23.7,0,23.5,9.14,REVIEW
elemental_mixer,Elemental Mixer,563,281,282,49.91,25.17,24.7,0,16.52,4.26,PASS
familiar_handler,Familiar Handler,450,243,207,54,25.25,23.7,0,14.22,4.89,PASS
summoner,Summoner,566,322,244,56.89,23.71,21.7,0,17.67,7.77,REVIEW
defensive_occultist,Defensive Occultist,456,147,309,32.24,30.84,32.7,0,57.02,27.63,REVIEW
dot_pressure,DoT Pressure,479,289,190,60.33,22.2,20.2,0,12.32,3.76,PASS
funeral_burst,Funeral Burst,1089,578,511,53.08,25.35,26.2,0,11.29,4.32,PASS
