run_id,archived_at,base_sha,model_id,seed,hypothesis,overall_status,avg_duration,median_duration,short_rate_percent,long_rate_percent,anti_stall_rate_percent,raw_stress_dominance_max_percent,near_power_dominance_max_percent,critical_archetypes,compatibility_status,simulator_hash,content_hash,model_hash,files
2026-05-21_archetype_source_tuning_v02,2026-05-21T06:12:55.314Z,5a9f42b15312,draxos_mobile_battle_lab_v1,battle_lab_alpha_20260521,Ajuste por arquetipo/fonte: reduzir burst/pet e medir dominancia por poder proximo.,REVIEW,18.91,18.7,0,0,0.12,77.62,70.45,[],stale,unknown,unknown,unknown,"[""battle_lab_report.html"",""battle_lab_summary.json"",""battle_lab_matchups.csv"",""battle_lab_builds.csv"",""battle_lab_checks.csv"",""battle_lab_archetypes.csv"",""battle_lab_power_bands.csv"",""battle_lab_outliers.csv"",""battle_lab_source_by_archetype.csv"",""battle_lab_near_power_matrix.csv"",""battle_lab_history_index.csv"",""battle_lab_compare.csv""]"
2026-05-21_pacing_alpha_v01,2026-05-21T03:40:47.495Z,5a9f42b15312,draxos_mobile_battle_lab_v1,battle_lab_alpha_20260521,Baseline apos pacing alpha global de HP e antes do ajuste por fonte.,CRITICAL,18.19,17.7,2.38,0,0.12,88.1,79.37,"[""pet_handler"",""burst_caster""]",stale,unknown,unknown,unknown,"[""battle_lab_report.html"",""battle_lab_summary.json"",""battle_lab_matchups.csv"",""battle_lab_builds.csv"",""battle_lab_checks.csv"",""battle_lab_archetypes.csv"",""battle_lab_power_bands.csv"",""battle_lab_outliers.csv"",""battle_lab_source_by_archetype.csv"",""battle_lab_near_power_matrix.csv"",""battle_lab_history_index.csv"",""battle_lab_compare.csv""]"
2026-05-25_initial_balance_v01,2026-05-25T10:13:07.200Z,6135c070184d,draxos_mobile_battle_lab_v3_initial_balance,battle_lab_character_rework_20260525,2026-05-25 initial balance v01,PASS,21.13,20.7,0,0,0.96,73.78,64.46,[],stale,72723c67,32776b12,b354944f,"[""battle_lab_report.html"",""battle_lab_summary.json"",""battle_lab_ui.json"",""battle_lab_replays.json"",""battle_lab_matchups.csv"",""battle_lab_progression_matrix.csv"",""battle_lab_builds.csv"",""battle_lab_checks.csv"",""battle_lab_archetypes.csv"",""battle_lab_power_bands.csv"",""battle_lab_outliers.csv"",""battle_lab_source_by_archetype.csv"",""battle_lab_near_power_matrix.csv"",""battle_lab_history_index.csv"",""battle_lab_compare.csv""]"
2026-05-25_source_identity_balance_v02,2026-05-25T20:33:51.972Z,15facf9468c9,draxos_mobile_battle_lab_v4_source_identity,battle_lab_character_rework_20260525,2026-05-25 source identity balance v02,PASS,24.08,22.7,0,15.07,4.95,67.33,63.46,[],stale,a6ea272d,58ae0529,01d2cb2a,"[""battle_lab_report.html"",""battle_lab_summary.json"",""battle_lab_ui.json"",""battle_lab_replays.json"",""battle_lab_matchups.csv"",""battle_lab_progression_matrix.csv"",""battle_lab_builds.csv"",""battle_lab_checks.csv"",""battle_lab_archetypes.csv"",""battle_lab_power_bands.csv"",""battle_lab_outliers.csv"",""battle_lab_source_by_archetype.csv"",""battle_lab_near_power_matrix.csv"",""battle_lab_history_index.csv"",""battle_lab_compare.csv""]"
2026-05-31_s1_arena_baseline_v01,2026-05-31T21:17:41.366Z,unknown,draxos_mobile_battle_lab_v4_source_identity,battle_lab_character_rework_20260525,2026-05-31 s1 arena baseline v01,REVIEW,25.42,24.7,0,20.25,8.18,60.33,61.97,[],current,4bcd17d8,ea868626,ec242b07,"[""battle_lab_report.html"",""battle_lab_summary.json"",""battle_lab_ui.json"",""battle_lab_replays.json"",""battle_lab_matchups.csv"",""battle_lab_progression_matrix.csv"",""battle_lab_builds.csv"",""battle_lab_checks.csv"",""battle_lab_archetypes.csv"",""battle_lab_power_bands.csv"",""battle_lab_outliers.csv"",""battle_lab_source_by_archetype.csv"",""battle_lab_arena_sequences.csv"",""battle_lab_arena_tiers.csv"",""battle_lab_arena_tier_summary.json"",""battle_lab_near_power_matrix.csv"",""battle_lab_history_index.csv"",""battle_lab_compare.csv""]"
